Start,Finish,Distance (km),Steps (count)
01-Feb-2017 00:00,02-Feb-2017 00:00,6.91169999999914,10171.0
02-Feb-2017 00:00,03-Feb-2017 00:00,5.21002936025249,8010.0
03-Feb-2017 00:00,04-Feb-2017 00:00,6.9848499999998,11743.0
04-Feb-2017 00:00,05-Feb-2017 00:00,3.89451999999717,6696.0
05-Feb-2017 00:00,06-Feb-2017 00:00,1.79208999999956,2974.0
06-Feb-2017 00:00,07-Feb-2017 00:00,4.79502999999118,8108.0
07-Feb-2017 00:00,08-Feb-2017 00:00,5.11896999999124,8579.0
08-Feb-2017 00:00,09-Feb-2017 00:00,4.00639999999234,5851.0
09-Feb-2017 00:00,10-Feb-2017 00:00,3.90827999999223,6213.0
10-Feb-2017 00:00,11-Feb-2017 00:00,4.4253599999923,7128.0
11-Feb-2017 00:00,12-Feb-2017 00:00,0.842519999998971,1556.0
12-Feb-2017 00:00,13-Feb-2017 00:00,0.0,0.0
13-Feb-2017 00:00,14-Feb-2017 00:00,2.79299999999633,4728.0
14-Feb-2017 00:00,15-Feb-2017 00:00,3.40072999999498,5683.0
15-Feb-2017 00:00,16-Feb-2017 00:00,2.95175999999652,4749.0
16-Feb-2017 00:00,17-Feb-2017 00:00,3.51574999999302,5478.0
17-Feb-2017 00:00,18-Feb-2017 00:00,3.49558999999554,5384.0
18-Feb-2017 00:00,19-Feb-2017 00:00,0.0,0.0
19-Feb-2017 00:00,20-Feb-2017 00:00,0.0,0.0
20-Feb-2017 00:00,21-Feb-2017 00:00,3.58830999999604,5578.0
21-Feb-2017 00:00,22-Feb-2017 00:00,4.08947999999282,6544.0
22-Feb-2017 00:00,23-Feb-2017 00:00,4.01742999999365,5745.0
23-Feb-2017 00:00,24-Feb-2017 00:00,4.10954999999201,6443.0
24-Feb-2017 00:00,25-Feb-2017 00:00,3.08712999999622,4953.0
25-Feb-2017 00:00,26-Feb-2017 00:00,1.84776999999833,3441.0
26-Feb-2017 00:00,27-Feb-2017 00:00,0.012960000000021,16.0
27-Feb-2017 00:00,28-Feb-2017 00:00,6.21360999999044,10408.0
28-Feb-2017 00:00,01-Mar-2017 00:00,5.00960999999416,6311.0
01-Mar-2017 00:00,02-Mar-2017 00:00,4.51001000000513,6838.0
02-Mar-2017 00:00,03-Mar-2017 00:00,3.5494800000051,5509.0
03-Mar-2017 00:00,04-Mar-2017 00:00,3.40101000000793,5571.0
04-Mar-2017 00:00,05-Mar-2017 00:00,5.75929000000597,9194.0
05-Mar-2017 00:00,06-Mar-2017 00:00,0.0234600000000792,34.0
06-Mar-2017 00:00,07-Mar-2017 00:00,4.51663000000257,6281.0
07-Mar-2017 00:00,08-Mar-2017 00:00,3.63259000000684,5341.0
08-Mar-2017 00:00,09-Mar-2017 00:00,3.53209000000649,5702.0
09-Mar-2017 00:00,10-Mar-2017 00:00,3.52759000000218,5564.0
10-Mar-2017 00:00,11-Mar-2017 00:00,0.0345299999999115,58.0
11-Mar-2017 00:00,12-Mar-2017 00:00,6.84050000000966,10647.0
12-Mar-2017 00:00,13-Mar-2017 00:00,1.95513000000361,3148.0
13-Mar-2017 00:00,14-Mar-2017 00:00,4.08315000001027,7000.0
14-Mar-2017 00:00,15-Mar-2017 00:00,3.74630000000808,6302.0
15-Mar-2017 00:00,16-Mar-2017 00:00,3.57444000000169,5216.0
16-Mar-2017 00:00,17-Mar-2017 00:00,3.77792000000284,6120.0
17-Mar-2017 00:00,18-Mar-2017 00:00,3.8716000000051,6151.0
18-Mar-2017 00:00,19-Mar-2017 00:00,0.0056600000000326,8.0
19-Mar-2017 00:00,20-Mar-2017 00:00,0.697660000001662,1246.0
20-Mar-2017 00:00,21-Mar-2017 00:00,3.38904000000667,5028.0
21-Mar-2017 00:00,22-Mar-2017 00:00,3.24709000000742,5250.0
22-Mar-2017 00:00,23-Mar-2017 00:00,5.58048000000534,8246.0
23-Mar-2017 00:00,24-Mar-2017 00:00,3.17980000000878,5183.0
24-Mar-2017 00:00,25-Mar-2017 00:00,7.99849000001838,12460.0
25-Mar-2017 00:00,26-Mar-2017 00:00,7.76220332023606,12410.0
26-Mar-2017 00:00,27-Mar-2017 00:00,0.036020000000135,49.0
27-Mar-2017 00:00,28-Mar-2017 00:00,9.6074210134364,15305.0
28-Mar-2017 00:00,29-Mar-2017 00:00,13.2706889180621,19754.0
29-Mar-2017 00:00,30-Mar-2017 00:00,11.2162559038987,16641.0
30-Mar-2017 00:00,31-Mar-2017 00:00,3.33639000000246,5410.0
31-Mar-2017 00:00,01-Apr-2017 00:00,3.62501000000467,5639.0
01-Apr-2017 00:00,02-Apr-2017 00:00,3.09917000000284,4831.0
02-Apr-2017 00:00,03-Apr-2017 00:00,0.0,0.0
03-Apr-2017 00:00,04-Apr-2017 00:00,18.1871710115285,28912.0
04-Apr-2017 00:00,05-Apr-2017 00:00,0.0,0.0
05-Apr-2017 00:00,06-Apr-2017 00:00,4.14422000000812,7025.0
06-Apr-2017 00:00,07-Apr-2017 00:00,3.66968000000343,6254.0
07-Apr-2017 00:00,08-Apr-2017 00:00,2.95689000000444,4691.0
08-Apr-2017 00:00,09-Apr-2017 00:00,0.0,0.0
09-Apr-2017 00:00,10-Apr-2017 00:00,0.0,0.0
10-Apr-2017 00:00,11-Apr-2017 00:00,3.13942000000435,5134.0
11-Apr-2017 00:00,12-Apr-2017 00:00,3.69486000000441,5827.0
12-Apr-2017 00:00,13-Apr-2017 00:00,4.94118000000867,8243.0
13-Apr-2017 00:00,14-Apr-2017 00:00,3.0834500000038,4781.0
14-Apr-2017 00:00,15-Apr-2017 00:00,2.92699999999977,4634.0
15-Apr-2017 00:00,16-Apr-2017 00:00,16.8063064003978,31766.0
16-Apr-2017 00:00,17-Apr-2017 00:00,0.0118800000000047,25.0
17-Apr-2017 00:00,18-Apr-2017 00:00,3.25996000000136,5396.0
18-Apr-2017 00:00,19-Apr-2017 00:00,3.44348000000487,5507.0
19-Apr-2017 00:00,20-Apr-2017 00:00,3.58418000000506,5612.0
20-Apr-2017 00:00,21-Apr-2017 00:00,3.30572000000288,5325.0
21-Apr-2017 00:00,22-Apr-2017 00:00,3.19226000000385,4990.0
22-Apr-2017 00:00,23-Apr-2017 00:00,0.0,0.0
23-Apr-2017 00:00,24-Apr-2017 00:00,0.777590000002063,1439.0
24-Apr-2017 00:00,25-Apr-2017 00:00,3.38736000000522,5239.0
25-Apr-2017 00:00,26-Apr-2017 00:00,3.27247000000463,5046.0
26-Apr-2017 00:00,27-Apr-2017 00:00,3.04521000000299,4923.0
27-Apr-2017 00:00,28-Apr-2017 00:00,2.87358000000287,4753.0
28-Apr-2017 00:00,29-Apr-2017 00:00,3.28094000000111,5083.0
29-Apr-2017 00:00,30-Apr-2017 00:00,0.0,0.0
30-Apr-2017 00:00,01-May-2017 00:00,0.875190000001807,1695.0
01-May-2017 00:00,02-May-2017 00:00,0.0,0.0
