In bed start,In bed Finish,Minutes in bed,Minutes asleep,Time to fall sleep,Number of sleep periods
04-May-2017 23:00,05-May-2017 06:00,420.212363582849,0.0,0.0,0
05-May-2017 23:00,06-May-2017 06:00,420.266666666667,0.0,0.0,0
06-May-2017 06:00,06-May-2017 06:09,8.38717329998811,0.0,0.0,0
06-May-2017 23:00,07-May-2017 06:00,420.330182100336,0.0,0.0,0
07-May-2017 23:00,08-May-2017 06:00,420.266666666667,0.0,0.0,0
08-May-2017 23:00,09-May-2017 06:00,420.252085066835,0.0,0.0,0
09-May-2017 23:00,10-May-2017 06:00,420.133333333333,0.0,0.0,0
10-May-2017 23:00,11-May-2017 05:55,415.933333333333,0.0,0.0,0
11-May-2017 06:04,11-May-2017 06:09,4.25599260032177,0.0,0.0,0
11-May-2017 23:00,12-May-2017 06:00,420.111270533005,0.0,0.0,0
12-May-2017 23:00,13-May-2017 06:00,420.2,0.0,0.0,0
13-May-2017 23:00,14-May-2017 06:00,420.164282349745,0.0,0.0,0
14-May-2017 23:00,15-May-2017 06:00,420.466666666667,0.0,0.0,0
15-May-2017 23:00,16-May-2017 06:00,420.143706383308,0.0,0.0,0
16-May-2017 23:00,17-May-2017 06:00,420.144168450435,0.0,0.0,0
17-May-2017 23:00,18-May-2017 06:00,420.14415623347,0.0,0.0,0
18-May-2017 23:00,19-May-2017 06:00,420.426073933641,0.0,0.0,0
19-May-2017 23:00,20-May-2017 06:00,420.138801166415,0.0,0.0,0
20-May-2017 23:00,21-May-2017 06:00,420.207893383503,0.0,0.0,0
21-May-2017 23:00,22-May-2017 06:00,420.4,0.0,0.0,0
22-May-2017 06:01,22-May-2017 06:09,7.83823810021083,0.0,0.0,0
22-May-2017 23:00,23-May-2017 06:00,420.225777450204,0.0,0.0,0
23-May-2017 23:00,24-May-2017 06:00,420.152532216907,0.0,0.0,0
24-May-2017 23:09,25-May-2017 06:00,410.795567417145,0.0,0.0,0
25-May-2017 23:00,26-May-2017 06:00,420.169682949781,0.0,0.0,0
26-May-2017 23:00,27-May-2017 06:00,420.222916133205,0.0,0.0,0
27-May-2017 23:00,28-May-2017 06:00,420.298357400298,0.0,0.0,0
28-May-2017 23:00,29-May-2017 06:00,420.120365282893,0.0,0.0,0
29-May-2017 23:00,30-May-2017 06:00,420.338602033257,0.0,0.0,0
30-May-2017 23:00,31-May-2017 06:00,420.162072933714,0.0,0.0,0
31-May-2017 23:48,01-Jun-2017 06:00,371.626844867071,0.0,0.0,0
01-Jun-2017 23:00,02-Jun-2017 06:00,420.115628182888,0.0,0.0,0
02-Jun-2017 23:00,03-Jun-2017 06:00,420.191410632928,0.0,0.0,0
04-Jun-2017 00:18,04-Jun-2017 06:00,341.663258900245,0.0,0.0,0
04-Jun-2017 23:00,05-Jun-2017 06:00,420.318761799733,0.0,0.0,0
05-Jun-2017 23:00,06-Jun-2017 06:00,420.23995723327,0.0,0.0,0
06-Jun-2017 23:00,07-Jun-2017 05:41,401.666666666667,0.0,0.0,0
07-Jun-2017 06:17,07-Jun-2017 06:18,0.677880533536275,0.0,0.0,0
07-Jun-2017 23:00,08-Jun-2017 06:00,420.066666666667,0.0,0.0,0
08-Jun-2017 23:00,09-Jun-2017 03:04,244.0,0.0,0.0,0
09-Jun-2017 03:04,09-Jun-2017 05:20,136.6,0.0,0.0,0
09-Jun-2017 05:46,09-Jun-2017 05:54,8.0,0.0,0.0,0
09-Jun-2017 05:55,09-Jun-2017 06:00,4.87773924966653,0.0,0.0,0
09-Jun-2017 23:10,10-Jun-2017 06:00,410.083294666807,0.0,0.0,0
10-Jun-2017 23:00,11-Jun-2017 06:00,420.214846733212,0.0,0.0,0
11-Jun-2017 23:00,12-Jun-2017 06:00,420.161241966486,0.0,0.0,0
12-Jun-2017 23:00,13-Jun-2017 06:00,420.198998983701,0.0,0.0,0
13-Jun-2017 23:00,14-Jun-2017 06:00,420.206358916561,0.0,0.0,0
14-Jun-2017 23:00,15-Jun-2017 06:00,420.133333333333,0.0,0.0,0
15-Jun-2017 23:00,16-Jun-2017 06:00,420.202917866906,0.0,0.0,0
